control_wpid,courseID,uniqueID,return,return2,death,dayindex,score_diff,reach_out_stu,reach_out_wiki,reach_in_stu,reach_in_wiki,student_Outdegree,wiki_Outdegree,student_Indegree,wiki_Indegree,student_weighted_outdegree,wiki_weighted_outdegree,student_weighted_indegree,wiki_weighted_indegree,edit_count,ave_sizediff,article_sizediff,article_count,talk_count,user_count,usertalk_count,unique_article_numbers,group,class_size,control_wikied,indiv_group,group_recheck
Kpixley23,203,Kpixley23203,0,0,1,75,0.249,0,0,2,0,0,0,0,0,0,0,0,0,41,808.8536585,2451,9,1,31,0,1,1,19,1,1,1
KpocMU,682,KpocMU682,0,0,1,99,1.239,0,0,0,2,0,0,0,2,0,0,0,2,37,225.8108108,96.8,10,9,18,0,1,1,67,1,1,1
Kpokharel59,274,Kpokharel59274,0,0,1,12,0.245,0,0,0,2,0,0,0,2,0,0,0,2,14,476.9285714,103,6,0,7,0,1,1,119,1,1,1
Kpopski13,367,Kpopski13367,0,0,1,77,0.899,3,0,0,2,2,0,0,2,3,0,0,2,46,152.326087,97.40909091,22,2,11,9,2,1,19,1,1,-1
Kprezz,21,Kprezz21,0,0,1,60,0,0,0,0,1,0,0,0,1,0,0,0,1,16,366.1875,0,0,2,11,0,0,0,26,1,-1,-1
Kpunzalan,220,Kpunzalan220,0,0,1,27,0.02,0,0,0,1,0,0,0,1,0,0,0,1,8,267.625,361,2,1,4,0,2,1,106,1,1,-1
Kputnam28,677,Kputnam28677,0,0,1,28,0,0,0,0,1,0,0,0,1,0,0,0,1,9,183.1111111,0,0,1,6,0,0,0,29,1,-1,-1
Kquirozmunoz,477,Kquirozmunoz477,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,294,0,0,0,1,0,0,0,22,1,-1,-1
Kqzhong,409,Kqzhong409,0,0,1,87,0,1,0,1,1,1,0,1,1,1,0,1,1,84,390.952381,364.3529412,51,14,12,1,3,0,23,1,-1,-1
Kr0512,473,Kr0512473,0,0,1,98,-0.081,0,0,0,1,0,0,0,3,0,0,0,3,11,130.4545455,268,1,0,6,3,1,0,18,1,-1,-1
Kragab111,262,Kragab111262,0,0,1,98,0.048,1,0,0,1,1,0,0,1,1,0,0,1,7,1058.571429,1544,1,0,4,1,1,0,37,1,-1,-1
Kraj ib35ac,549,Kraj ib35ac549,0,0,1,30,2.433,0,0,0,1,0,0,0,1,0,0,0,1,6,608.3333333,1718,2,0,3,0,1,1,14,1,1,1
Krakenzheng,307,Krakenzheng307,0,0,1,13,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1842,1842,1,0,0,0,1,0,12,1,-1,-1
Kralph1,289,Kralph1289,0,0,1,75,0.459,2,0,1,0,0,0,0,2,0,0,0,2,20,442.2,605.2,5,5,5,2,3,1,19,1,1,-1
Kran26,55,Kran2655,0,0,1,15,0.234,1,0,0,1,0,0,0,1,0,0,0,1,31,-134.5806452,-182.5882353,17,6,4,1,1,1,125,1,1,1
Krausea,308,Krausea308,0,0,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1391.777778,1391.777778,9,0,0,0,1,1,35,1,1,1
Krawlinson,674,Krawlinson674,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,7,880.4285714,2263,1,0,6,0,1,0,48,1,-1,-1
Krcarlson,536,Krcarlson536,0,0,1,42,0,0,0,0,2,0,0,0,2,0,0,0,2,44,133.4772727,103.425,40,0,3,0,1,1,38,1,1,1
Kreamico2,72,Kreamico272,0,0,1,7,0,0,0,1,1,0,0,1,1,0,0,1,1,1,138,0,0,0,1,0,0,1,21,1,1,1
Kreino1,252,Kreino1252,0,0,1,30,0.192,0,0,0,1,0,0,0,1,0,0,0,1,22,289.7727273,358.5,6,3,6,0,3,0,22,1,-1,-1
Kres9060,586,Kres9060586,0,0,1,77,0.655,0,1,0,7,0,1,0,5,0,1,0,9,14,221.0714286,325.4,5,0,2,4,3,0,10,1,-1,-1
KResavy,729,KResavy729,0,0,1,42,0,0,0,0,6,0,0,0,3,0,0,0,6,69,175.6666667,182.3442623,61,2,2,1,1,0,45,1,-1,-1
Kretscht,278,Kretscht278,0,0,1,44,0,0,0,0,0,0,0,1,0,0,0,2,0,48,157.7708333,222.875,40,2,0,4,2,0,22,1,-1,1
Kreyolnyc,335,Kreyolnyc335,0,0,1,1118,0,0,0,0,1,0,0,0,1,0,0,0,1,9,132.1111111,0,0,0,4,0,0,0,8,1,-1,-1
Krgrudzins,114,Krgrudzins114,0,0,1,101,0,0,1,0,3,0,1,0,2,0,1,0,3,16,414.9375,610.4,10,0,3,1,1,1,51,1,1,-1
Krickov2,81,Krickov281,0,0,1,39,0.011,0,0,0,0,0,0,0,0,0,0,0,0,7,503.4285714,286,6,1,0,0,2,0,90,1,-1,-1
Kried15,390,Kried15390,0,0,1,89,0,0,0,0,5,0,0,0,2,0,0,0,5,3,94.33333333,0,0,0,2,0,0,1,21,1,1,1
Krifa206,31,Krifa20631,0,0,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,21,920,600.5,8,1,11,0,3,1,19,1,1,1
Krifken,508,Krifken508,0,0,1,77,0,0,0,0,1,0,0,0,1,0,0,0,1,26,422.4230769,454,24,0,1,0,2,0,8,1,-1,1
